gdb	gid	genomeName	pathway	step
FitnessBrowser	Cola	Echinicola vietnamensis KMM 6221, DSM 17526	ser	serC
FitnessBrowser	Dino	Dinoroseobacter shibae DFL-12	thr	thrB
FitnessBrowser	DvH	Desulfovibrio vulgaris Hildenborough JW710	ser	serB
FitnessBrowser	DvH	Desulfovibrio vulgaris Hildenborough JW710	ser	serC
FitnessBrowser	Miya	Desulfovibrio vulgaris Miyazaki F	ser	serB
FitnessBrowser	Phaeo	Phaeobacter inhibens DSM 17395	thr	thrB
IMG	ChlphaBS1_FD	Chlorobium phaeobacteroides BS1	his	hisI
NCBI	GCF_000006985.1	Chlorobaculum tepidum TLS	his	hisI
NCBI	GCF_000007065.1	Methanosarcina mazei Go1	his	hisN
NCBI	GCF_000007065.1	Methanosarcina mazei Go1	lys	dapF
NCBI	GCF_000007345.1	Methanosarcina acetivorans C2A	his	hisN
NCBI	GCF_000007345.1	Methanosarcina acetivorans C2A	lys	dapF
NCBI	GCF_000008325.1	Methylococcus capsulatus str. Bath	thr	thrB
NCBI	GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	his	hisN
NCBI	GCF_000011905.1	Dehalococcoides mccartyi 195	his	hisI
NCBI	GCF_000011905.1	Dehalococcoides mccartyi 195	his	hisN
NCBI	GCF_000012925.1	Geobacter metallireducens GS-15	his	hisN
NCBI	GCF_000012965.1	Sulfurimonas denitrificans DSM 1251	ser	serC
NCBI	GCF_000014265.1	Trichodesmium erythraeum IMS101	his	hisN
NCBI	GCF_000015045.1	Pelobacter propionicus DSM 2379	his	hisN
NCBI	GCF_000015585.1	Halorhodospira halophila SL1	thr	thrB
NCBI	GCF_000015985.1	Cereibacter sphaeroides ATCC 17029	thr	thrB
NCBI	GCF_000016125.1	Methanococcus maripaludis C5	his	hisN
NCBI	GCF_000016505.1	Clostridium kluyveri DSM 555	lys	dapL
NCBI	GCF_000016745.1	Geotalea uraniireducens Rf4	his	hisN
NCBI	GCF_000017185.1	Methanococcus aeolicus Nankai-3	his	hisN
NCBI	GCF_000017845.1	Crocosphaera subtropica ATCC 51142	met	mec
NCBI	GCF_000018465.1	Nitrosopumilus maritimus SCM1	asn	gatC
NCBI	GCF_000018465.1	Nitrosopumilus maritimus SCM1	his	hisI
NCBI	GCF_000018465.1	Nitrosopumilus maritimus SCM1	lys	lysN
NCBI	GCF_000018465.1	Nitrosopumilus maritimus SCM1	met	moeZ
NCBI	GCF_000020385.1	Trichlorobacter lovleyi SZ	his	hisN
NCBI	GCF_000020465.1	Chlorobium limicola DSM 245	his	hisI
NCBI	GCF_000020505.1	Chlorobaculum parvum NCIB 8327	his	hisI
NCBI	GCF_000020505.1	Chlorobaculum parvum NCIB 8327	his	hisN
NCBI	GCF_000020625.1	Prosthecochloris aestuarii DSM 271	his	hisI
NCBI	GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	chorismate	fbp
NCBI	GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	cys	serC
NCBI	GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	his	hisN
NCBI	GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	met	moeZ
NCBI	GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1	ser	serC
NCBI	GCF_000021565.1	Persephonella marina EX-H1	chorismate	fbp
NCBI	GCF_000021565.1	Persephonella marina EX-H1	his	hisN
NCBI	GCF_000021565.1	Persephonella marina EX-H1	met	mec
NCBI	GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	his	hisI
NCBI	GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	met	moeZ
NCBI	GCF_000024385.1	Thermomonospora curvata DSM 43183	his	hisI
NCBI	GCF_000025485.1	Allochromatium vinosum DSM 180	thr	thrB
NCBI	GCF_000025505.1	Ferroglobus placidus DSM 10642	his	hisN
NCBI	GCF_000025605.1	Thermocrinis albus DSM 14484	cys	serC
NCBI	GCF_000025605.1	Thermocrinis albus DSM 14484	his	hisN
NCBI	GCF_000025605.1	Thermocrinis albus DSM 14484	met	mec
NCBI	GCF_000025605.1	Thermocrinis albus DSM 14484	met	moeZ
NCBI	GCF_000025605.1	Thermocrinis albus DSM 14484	ser	serC
NCBI	GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809	his	hisN
NCBI	GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809	ser	serB
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	his	hisI
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	his	hisN
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	ser	serB
NCBI	GCF_000092245.1	Arcobacter nitrofigilis DSM 7299	ser	serC
NCBI	GCF_000092905.1	Kyrpidia tusciae DSM 2912	his	hisN
NCBI	GCF_000143965.1	Desulfarculus baarsii DSM 2075	his	hisN
NCBI	GCF_000170735.1	Caminibacter mediatlanticus TB-2	ser	serC
NCBI	GCF_000173975.1	Anaerobutyricum hallii DSM 3353	his	hisI
NCBI	GCF_000173975.1	Anaerobutyricum hallii DSM 3353	thr	thrB
NCBI	GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672	his	hisN
NCBI	GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672	ser	serB
NCBI	GCF_000183725.1	Sulfuricurvum kujiense DSM 16994	ser	serC
NCBI	GCF_000185805.1	Thermovibrio ammonificans HB-1	chorismate	fbp
NCBI	GCF_000185805.1	Thermovibrio ammonificans HB-1	his	hisN
NCBI	GCF_000186245.1	Nitratifractor salsuginis DSM 16511	ser	serC
NCBI	GCF_000191585.1	Methanobacterium lacus AL-21	his	hisN
NCBI	GCF_000194625.1	Archaeoglobus veneficus SNP6	his	hisN
NCBI	GCF_000195295.1	Desulfobacca acetoxidans DSM 11109	his	hisI
NCBI	GCF_000195295.1	Desulfobacca acetoxidans DSM 11109	his	hisN
NCBI	GCF_000204075.1	Trichormus variabilis ATCC 29413	his	hisN
NCBI	GCF_000204075.1	Trichormus variabilis ATCC 29413	ile	ilvE
NCBI	GCF_000204075.1	Trichormus variabilis ATCC 29413	leu	ilvE
NCBI	GCF_000214665.1	Methylomonas methanica MC09	thr	thrB
NCBI	GCF_000215085.1	Desulforamulus ruminis DSM 2154	ser	serB
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	his	hisN
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	met	hom
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	pro	cyclodeaminase
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	ser	serB
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	thr	hom
NCBI	GCF_000223395.1	Pyrolobus fumarii 1A	trp	trpA
NCBI	GCF_000227685.2	Thioalkalivibrio paradoxus ARh 1	thr	thrB
NCBI	GCF_000284315.1	Leptospirillum ferrooxidans C2-3	his	hisN
NCBI	GCF_000284315.1	Leptospirillum ferrooxidans C2-3	ser	serB
NCBI	GCF_000372865.1	Methylosarcina fibrata AML-C10	thr	thrB
NCBI	GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498	chorismate	fbp
NCBI	GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498	his	hisN
NCBI	GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498	ile	ilvD
NCBI	GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498	leu	ilvD
NCBI	GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498	val	ilvD
NCBI	GCF_000384075.1	Methylovulum miyakonense HT12	thr	thrB
NCBI	GCF_000385335.1	Methyloferula stellata AR4 AR4T	ser	serA
NCBI	GCF_000420385.1	Hippea alviniae EP5-r	his	hisN
NCBI	GCF_000421465.1	Methylohalobius crimeensis 10Ki	thr	thrB
NCBI	GCF_000422285.1	Desulfatiglans anilini DSM 4660	chorismate	fbp
NCBI	GCF_000422285.1	Desulfatiglans anilini DSM 4660	his	hisI
NCBI	GCF_000422285.1	Desulfatiglans anilini DSM 4660	ser	serB
NCBI	GCF_000425265.1	Maridesulfovibrio zosterae DSM 11974	his	hisN
NCBI	GCF_000428045.1	Sedimenticola selenatireducens DSM 17993	thr	thrB
NCBI	GCF_000429905.1	Desulfatibacillum aliphaticivorans DSM 15576	his	hisI
NCBI	GCF_000429965.1	Desulfogranum mediterraneum DSM 13871	his	hisI
NCBI	GCF_000429985.1	Maridesulfovibrio bastinii DSM 16055	his	hisN
NCBI	GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120	chorismate	fbp
NCBI	GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120	his	hisN
NCBI	GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120	met	moeZ
NCBI	GCF_000711195.1	Thiomicrospira pelophila DSM 1534	his	hisF
NCBI	GCF_000745975.1	Desulfobacter vibrioformis DSM 8776	his	hisI
NCBI	GCF_000745975.1	Desulfobacter vibrioformis DSM 8776	his	hisN
NCBI	GCF_000763575.1	Thermoanaerobacter kivui LKT-1	lys	dapL
NCBI	GCF_000828635.1	Sulfuritalea hydrogenivorans sk43H DSM 22779	thr	thrB
NCBI	GCF_001401755.1	Aquimarina longa SW024	pro	argE
NCBI	GCF_001541235.1	Hyphomicrobium sulfonivorans WDL6	ser	serA
NCBI	GCF_001579945.1	Steroidobacter denitrificans DSM 18526	arg	argE
NCBI	GCF_001653335.1	Nocardioides dokdonensis FR1436	trp	trpE
NCBI	GCF_001950255.1	Carboxydothermus pertinax Ug1	ser	serB
