Domain	Name	Description	db	acc
Archaea	eL8_ribo	ribosomal protein eL8	TIGR	TIGR03677
Archaea	eS8	ribosomal protein eS8	TIGR	TIGR00307
Archaea	Ribosomal_L10	Ribosomal protein L10	PFAM	PF00466.24
Archaea	Ribosomal_L19e	Ribosomal protein L19e	PFAM	PF01280.24
Archaea	Ribosomal_L1	Ribosomal protein L1p/L10e family	PFAM	PF00687.25
Archaea	Ribosomal_L21e	Ribosomal protein L21e	PFAM	PF01157.22
Archaea	Ribosomal_L31e	Ribosomal protein L31e	PFAM	PF01198.23
Archaea	Ribosomal_L32e	Ribosomal protein L32	PFAM	PF01655.22
Archaea	Ribosomal_S19e	Ribosomal protein S19e	PFAM	PF01090.23
Archaea	Ribosomal_S24e	Ribosomal protein S24e	PFAM	PF01282.23
Archaea	Ribosomal_S28e	Ribosomal protein S28e	PFAM	PF01200.22
Archaea	Ribosomal_S6e	Ribosomal protein S6e	PFAM	PF01092.23
Archaea	Ribosomal_S8	Ribosomal protein S8	PFAM	PF00410.23
Archaea	L13_A_E	ribosomal protein uL13	TIGR	TIGR01077
Archaea	uL16_euk_arch	ribosomal protein uL16	TIGR	TIGR00279
Archaea	uL22_arch_euk	ribosomal protein uL22	TIGR	TIGR01038
Archaea	uL23_arch	ribosomal protein uL23	TIGR	TIGR03636
Archaea	rplX_A_E	ribosomal protein uL24	TIGR	TIGR01080
Archaea	L3_arch	ribosomal protein uL3	TIGR	TIGR03626
Archaea	uL30_arch	ribosomal protein uL30	TIGR	TIGR01309
Archaea	uL6_arch	ribosomal protein uL6	TIGR	TIGR03653
Archaea	uS10_euk_arch	ribosomal protein uS10	TIGR	TIGR01046
Archaea	arch_S11P	ribosomal protein uS11	TIGR	TIGR03628
Archaea	uS12_E_A	ribosomal protein uS12	TIGR	TIGR00982
Archaea	uS13_arch	ribosomal protein uS13	TIGR	TIGR03629
Archaea	uS19_arch	ribosomal protein uS19	TIGR	TIGR01025
Archaea	uS2_euk_arch	ribosomal protein uS2	TIGR	TIGR01012
Archaea	uS3_euk_arch	ribosomal protein uS3	TIGR	TIGR01008
Archaea	uS4_arch	ribosomal protein uS4	TIGR	TIGR01018
Archaea	uS5_euk_arch	ribosomal protein uS5	TIGR	TIGR01020
Archaea	uS7_euk_arch	ribosomal protein uS7	TIGR	TIGR01028
Archaea	uS9_arch	ribosomal protein uS9	TIGR	TIGR03627
Bacteria	L17	ribosomal protein bL17	TIGR	TIGR00059
Bacteria	rplT_bact	ribosomal protein bL20	TIGR	TIGR01032
Bacteria	L21	ribosomal protein bL21	TIGR	TIGR00061
Bacteria	L9	ribosomal protein bL9	TIGR	TIGR00158
Bacteria	rpsA	ribosomal protein bS1	TIGR	TIGR00717
Bacteria	S20	ribosomal protein bS20	TIGR	TIGR00029
Bacteria	S6	ribosomal protein bS6	TIGR	TIGR00166
Bacteria	Ribosomal_L10	Ribosomal protein L10	PFAM	PF00466.24
Bacteria	Ribosomal_S8	Ribosomal protein S8	PFAM	PF00410.23
Bacteria	Ribosomal_S9	Ribosomal protein S9/S16	PFAM	PF00380.23
Bacteria	rplA_bact	ribosomal protein uL1	TIGR	TIGR01169
Bacteria	L11_bact	ribosomal protein uL11	TIGR	TIGR01632
Bacteria	rplM_bact	ribosomal protein uL13	TIGR	TIGR01066
Bacteria	rplO_bact	ribosomal protein uL15	TIGR	TIGR01071
Bacteria	rplP_bact	ribosomal protein uL16	TIGR	TIGR01164
Bacteria	rplB_bact	ribosomal protein uL2	TIGR	TIGR01171
Bacteria	rplV_bact	ribosomal protein uL22	TIGR	TIGR01044
Bacteria	rplX_bact	ribosomal protein uL24	TIGR	TIGR01079
Bacteria	L6_bact	ribosomal protein uL6	TIGR	TIGR03654
Bacteria	uS11_bact	ribosomal protein uS11	TIGR	TIGR03632
Bacteria	rpsB_bact	ribosomal protein uS2	TIGR	TIGR01011
Bacteria	rpsC_bact	ribosomal protein uS3	TIGR	TIGR01009
Bacteria	rpsD_bact	ribosomal protein uS4	TIGR	TIGR01017
Bacteria	rpsE_bact	ribosomal protein uS5	TIGR	TIGR01021
Bacteria	rpsG_bact	ribosomal protein uS7	TIGR	TIGR01029
