id	desc	URL	color
	DUF1080 is a family of hydrolases and includes putative 3-ketoglycoside hydrolases. The putative active site was identified from the structure of BT2157 (PDB:3osd). In the tree, BT2157 and other 3-ketoglycoside hydrolases are colored green, and endoglucanase THTE_1561 is in red. These members of DUF1080 were taken from MicrobesOnline (using hits to PFam PF06439.11 with 80 bits or higher), clustered at 60% identity to reduce the number of sequences, and aligned using hmmalign. 		
10262249_29_210	single domain, from Spirosoma linguale DSM 74	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10262249	
10265754_21_224	single domain, from Spirosoma linguale DSM 74	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10265754	
10266833_46_287	single domain, from Spirosoma linguale DSM 74	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10266833	
10267460_32_215	single domain, from Spirosoma linguale DSM 74	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10267460	
10267694_39_236	single domain, near sugar dehydrogenase, from Spirosoma linguale DSM 74	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10267694	
10270655_87_292	single domain, from Salinibacter ruber	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10270655	
10304809_24_215	single domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10304809	
10306114_33_218	single domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10306114	
10307487_204_385	tandem domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307487	
10307487_41_200	tandem domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307487	
10307627_52_286	single domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307627	
10307912_359_538	tandem domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307912	
10307912_189_353	tandem domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307912	
10307987_154_329	single domain, from Pirellula staleyi DSM 6068	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10307987	
10343720_38_183	single domain, from Allochromatium vinosum DSM 180	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10343720	
10356339_57_245	single domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356339	
10356341_141_326	single domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356341	
10356452_324_537	with other domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356452	
10356681_30_214	single domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356681	
10356726_29_240	single domain, near sugar dehydrogenase, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356726	
10356898_71_256	single domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10356898	
10357232_410_572	with other domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10357232	
10359233_256_442	tandem domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10359233	
10359233_59_249	tandem domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10359233	
10359243_331_522	with redox domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10359243	
10359430_45_269	single domain, from Coraliomargarita akajimensis DSM 45221	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10359430	
10981894_25_253	single domain, from Leadbetterella byssophila 4M15, DSM 17132	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=10981894	
11000384_42_248	tandem domain, from Alistipes finegoldii AHN 2437, DSM 17242	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11000384	
11000386_925_1125	with other domain, near sugar dehydrogenase, from Alistipes finegoldii AHN 2437, DSM 17242	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11000386	
11023056_44_295	single domain, from Cellulophaga algicola IC166, DSM 14237	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11023056	
11035244_21_215	single domain, from Niastella koreensis GR20-10, DSM 17620	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11035244	
11036133_59_263	single domain, from Niastella koreensis GR20-10, DSM 17620	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11036133	
11036482_44_240	single domain, from Niastella koreensis GR20-10, DSM 17620	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11036482	
11045354_54_254	single domain, from Hymenobacter roseosalivarius AA-718, DSM 11622	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11045354	
11075721_6_207	single domain, from Pontibacter actiniarum KMM 6156, DSM 19842	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11075721	
11127178_250_458	tandem domain, near sugar dehydrogenase, from Aquiflexum balticum BA160, DSM 16537	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11127178	
11127748_199_365	single domain, from Aquiflexum balticum BA160, DSM 16537	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11127748	
11127954_46_240	single domain, from Aquiflexum balticum BA160, DSM 16537	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11127954	
11129142_59_261	single domain, near sugar dehydrogenase, from Aquiflexum balticum BA160, DSM 16537	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11129142	
11129631_48_250	single domain, from Aquiflexum balticum BA160, DSM 16537	http://microbesonline.org/cgi-bin/fetchLocus.cgi?locus=11129631	
