gdb	gid	genomeName	pathway	step	class	comment
FitnessBrowser	Lysobacter_OAE881	Lysobacter sp. OAE881	chorismate	aroL	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
FitnessBrowser	Lysobacter_OAE881	Lysobacter sp. OAE881	lys	dapB	spurious	Although this step was not found in the annotated proteins, a medium-confidence candidate was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
FitnessBrowser	azobra	Azospirillum brasilense Sp245	his	hisD	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
FitnessBrowser	azobra	Azospirillum brasilense Sp245	ser	serC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
FitnessBrowser	pseudo1_N1B4	Pseudomonas fluorescens FW300-N1B4	his	prs	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	arg	carB	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	chorismate	aroE	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H	lys	dapA	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000014265.1	Trichodesmium erythraeum IMS101	ile	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000014265.1	Trichodesmium erythraeum IMS101	leu	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000014265.1	Trichodesmium erythraeum IMS101	val	ilvI	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039	arg	argH	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000020505.1	Chlorobaculum parvum NCIB 8327	chorismate	aroC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000020625.1	Prosthecochloris aestuarii DSM 271	ser	serC	spurious	Although this step was not found in the annotated proteins, a medium-confidence candidate was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000022085.1	Methylobacterium nodulans ORS 2060	his	hisG	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	chorismate	aroA'	spurious	Although this step was not found in the annotated proteins, when analyzing the six-frame translation of the genome, another step was found to complete the pathway. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	chorismate	aroB'	spurious	Although this step was not found in the annotated proteins, when analyzing the six-frame translation of the genome, another step was found to complete the pathway. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	ile	ilvC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	ile	ilvD	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	leu	ilvC	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	leu	ilvD	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
NCBI	GCF_000025945.1	Desulfotalea psychrophila LSv54	lys	DAPtransferase	spurious	Although this step was not found in the annotated proteins, it was found when analyzing the six-frame translation of the genome. This may indicate a missing gene call or a frameshift error in the genome sequence.
